GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
N-Coal_ST,1995,2687700,21390
N-Geothermal,2000,5524200,0
N-NG_CC,2008,1143900,5868.3
N-NG_GT,2009,605430,4891.8
C-Coal_ST,1985,2687700,21390
C-NG_CC,2005,1143900,5868.3
C-NG_GT,2005,605430,4891.8
S-Geothermal,1998,5524200,0
S-NG_CC,2000,1143900,5868.3
S-NG_GT,1990,605430,4891.8
S-NG_GT,2002,605430,4891.8
N-Coal_IGCC,2020,3729300,28923
N-Coal_IGCC,2030,3729300,28923
N-Coal_IGCC_CCS,2030,6138000,41292
N-NG_CC,2020,1143900,5868.3
N-NG_CC,2030,1143900,5868.3
N-NG_CC_CCS,2030,3487500,17112
N-NG_GT,2020,605430,4891.8
N-NG_GT,2030,605430,4891.8
N-Biomass_IGCC,2020,3561900,88350
N-Biomass_IGCC,2030,3561900,88350
N-Biomass_IGCC_CCS,2030,5970600,100719
N-Residential_PV,2020,3487500,41850
N-Residential_PV,2030,3059700,38130
N-Commercial_PV,2020,3106200,41850
N-Commercial_PV,2030,2752800,38130
N-Central_PV-1,2020,2334300,41850
N-Central_PV-2,2020,2334300,41850
N-Central_PV-1,2030,2148300,38130
N-Central_PV-2,2030,2148300,38130
N-Wind-1,2020,1841400,55800
N-Wind-2,2020,1841400,55800
N-Wind-1,2030,1841400,55800
N-Wind-2,2030,1841400,55800
C-Coal_IGCC,2020,2983440,23138.4
C-Coal_IGCC,2030,2983440,23138.4
C-NG_CC,2020,915120,4694.64
C-NG_CC,2030,915120,4694.64
C-NG_GT,2020,484344,3913.44
C-NG_GT,2030,484344,3913.44
C-Biomass_IGCC,2020,2849520,70680
C-Biomass_IGCC,2030,2849520,70680
C-Residential_PV,2020,2790000,33480
C-Residential_PV,2030,2447760,30504
C-Commercial_PV,2020,2484960,33480
C-Commercial_PV,2030,2202240,30504
C-Central_PV-1,2020,1867440,33480
C-Central_PV-2,2020,1867440,33480
C-Central_PV-1,2030,1718640,30504
C-Central_PV-2,2030,1718640,30504
C-Wind-1,2020,1473120,44640
C-Wind-2,2020,1473120,44640
C-Wind-1,2030,1473120,44640
C-Wind-2,2030,1473120,44640
S-NG_CC,2020,1372680,7041.96
S-NG_CC,2030,1372680,7041.96
S-NG_CC_CCS,2030,4185000,20534.4
S-NG_GT,2020,726516,5870.16
S-NG_GT,2030,726516,5870.16
S-Biomass_IGCC,2020,4274280,106020
S-Biomass_IGCC,2030,4274280,106020
S-Biomass_IGCC_CCS,2030,7164720,120862.8
S-Residential_PV,2020,4185000,50220
S-Residential_PV,2030,3671640,45756
S-Commercial_PV,2020,3727440,50220
S-Commercial_PV,2030,3303360,45756
S-Central_PV-1,2020,2801160,50220
S-Central_PV-2,2020,2801160,50220
S-Central_PV-1,2030,2577960,45756
S-Central_PV-2,2030,2577960,45756
N-FuelCell,2020,1000000,6000
N-FuelCell,2030,800000,6000
S-FuelCell,2020,1000000,6000
S-FuelCell,2030,800000,6000
